solver,testcase,answer_x,time,memory,answer_y,n,cap,sumv,sumw,slv_type,eps,ratio,relative_error,size
greedy,f10_l-d_kp_20_879,1019.0,360.0,8560.0,1025,20,879,1086,1098,greedy,,0.9941463414634146,0.005853658536585366,small
greedy,f1_l-d_kp_10_269,290.0,267.0,8480.0,295,10,269,412,539,greedy,,0.9830508474576272,0.01694915254237288,small
greedy,f2_l-d_kp_20_878,1018.0,334.0,8368.0,1024,20,878,1085,1098,greedy,,0.994140625,0.005859375,small
greedy,f3_l-d_kp_4_20,35.0,183.0,8472.0,35,4,20,48,27,greedy,,1.0,0.0,small
greedy,f4_l-d_kp_4_11,16.0,157.0,8480.0,23,4,11,41,19,greedy,,0.6956521739130435,0.30434782608695654,small
greedy,f6_l-d_kp_10_60,52.0,257.0,8456.0,52,10,60,105,130,greedy,,1.0,0.0,small
greedy,f7_l-d_kp_7_50,90.0,194.0,8456.0,107,7,50,188,93,greedy,,0.8411214953271028,0.1588785046728972,small
greedy,f8_l-d_kp_23_10000,9266.0,309.0,8544.0,9767,23,10000,19309,19428,greedy,,0.9487048223610116,0.05129517763898843,small
greedy,f9_l-d_kp_5_80,130.0,193.0,8432.0,130,5,80,142,91,greedy,,1.0,0.0,small
greedy,knapPI_14_200_1000_1,5397.0,587.0,8720.0,5397,200,997,142318,99618,greedy,,1.0,0.0,large
greedy,knapPI_1_500_1000_1,28834.0,925.0,9056.0,28857,500,2543,247071,256932,greedy,,0.9992029663513186,0.0007970336486814292,large
greedy,knapPI_2_500_1000_1,4551.0,840.0,8712.0,4566,500,2543,258317,256932,greedy,,0.9967148488830486,0.0032851511169513796,large
greedy,knapPI_3_500_1000_1,7098.0,952.0,8876.0,7117,500,2517,304306,254306,greedy,,0.9973303358156527,0.0026696641843473373,large
fptas 0.5,f10_l-d_kp_20_879,1003.0,831.0,8716.0,1025,20,879,1086,1098,fptas,0.5,0.9785365853658536,0.021463414634146343,small
